,序号,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名,第11名,第12名,第13名,第14名,第15名,第16名,第17名,第18名,第19名,第20名,第21名,第22名,第23名,第24名,第25名,第26名,第27名,第28名,第29名,第30名
58,2023-05-05,中国科传,中科信息,南方传媒,果麦文化,华建集团,唐德影视,铁科轨道,中国出版,冰川网络,上海电影,万兴科技,华星创业,小商品城,世纪天鸿,游族网络,焦点科技,科德教育,天舟文化,长江传媒,中船科技,奥飞娱乐,新华文轩,思美传媒,超讯通信,电魂网络,中信出版,赛诺医疗,山东出版,掌趣科技,高澜股份
59,2023-05-08,中科信息,中国科传,南方传媒,中国出版,唐德影视,华建集团,冰川网络,万兴科技,世纪天鸿,焦点科技,科德教育,长江传媒,上海电影,果麦文化,中船科技,天舟文化,超讯通信,方直科技,佳发教育,铁科轨道,华星创业,游族网络,奥飞娱乐,思美传媒,小商品城,中信出版,掌趣科技,祥生医疗,电魂网络,皖新传媒
60,2023-05-09,中科信息,中国科传,中国出版,万兴科技,南方传媒,华建集团,焦点科技,唐德影视,冰川网络,中船科技,果麦文化,世纪天鸿,天舟文化,长江传媒,方直科技,超讯通信,奥飞娱乐,中信出版,佳发教育,游族网络,上海电影,秦港股份,思美传媒,小商品城,电魂网络,铁科轨道,华星创业,科德教育,赛诺医疗,中瓷电子
61,2023-05-10,中国出版,中科信息,中国科传,南方传媒,万兴科技,冰川网络,中船科技,焦点科技,世纪天鸿,华建集团,唐德影视,天舟文化,小商品城,思美传媒,果麦文化,超讯通信,长江传媒,中信出版,铁科轨道,华星创业,佳发教育,科德教育,游族网络,中视传媒,赛诺医疗,国新文化,祥生医疗,通合科技,山东出版,奥飞娱乐
62,2023-05-11,世纪天鸿,中国出版,中科信息,唐德影视,中国科传,南方传媒,万兴科技,焦点科技,冰川网络,华建集团,天舟文化,佳发教育,超讯通信,科德教育,中船科技,国新文化,华星创业,祥生医疗,长江传媒,铁科轨道,金龙汽车,果麦文化,通合科技,小商品城,蓝色光标,皖新传媒,中信出版,方直科技,思美传媒,游族网络
63,2023-05-12,世纪天鸿,中科信息,中国出版,南方传媒,中国科传,万兴科技,超讯通信,唐德影视,焦点科技,佳发教育,赛诺医疗,华建集团,国新文化,祥生医疗,科德教育,华星创业,上海港湾,中船科技,中视传媒,长江传媒,天舟文化,冰川网络,铁科轨道,金龙汽车,拓新药业,金石亚药,皖新传媒,游族网络,通合科技,蓝色光标
64,2023-05-15,世纪天鸿,中科信息,中国出版,中国科传,南方传媒,超讯通信,赛诺医疗,佳发教育,中船科技,中视传媒,唐德影视,华建集团,万兴科技,焦点科技,双杰电气,学大教育,铁科轨道,金冠电气,金龙汽车,英可瑞,中船汉光,鸿博股份,国新文化,祥生医疗,通合科技,上海港湾,蓝色光标,皖新传媒,华星创业,万胜智能
65,2023-05-16,中科信息,英可瑞,超讯通信,世纪天鸿,中国出版,万胜智能,赛诺医疗,中国科传,双杰电气,中视传媒,金石亚药,南方传媒,拓新药业,佳发教育,中船汉光,万兴科技,金冠电气,焦点科技,铁科轨道,中船科技,祥生医疗,学大教育,通合科技,华建集团,金龙汽车,何氏眼科,宝明科技,鸿博股份,建投能源,上海港湾
66,2023-05-17,万胜智能,英可瑞,中科信息,焦点科技,超讯通信,中国出版,中船汉光,南方传媒,铁科轨道,万兴科技,双杰电气,赛诺医疗,金石亚药,拓新药业,中船科技,朗玛信息,世纪天鸿,鸿博股份,中视传媒,日播时尚,兴齐眼药,迦南智能,杭州热电,祥生医疗,佳发教育,国瑞科技,金冠电气,震有科技,学大教育,唐德影视
67,2023-05-18,中科信息,南方传媒,焦点科技,中国出版,英可瑞,超讯通信,中船汉光,万胜智能,万兴科技,世纪天鸿,冰川网络,日播时尚,赛诺医疗,中船科技,鸿博股份,朗玛信息,唐德影视,杭州热电,中际旭创,中国科传,拓新药业,金石亚药,凯淳股份,佳发教育,震有科技,学大教育,机器人,兴齐眼药,迦南智能,宝通科技
68,2023-05-19,中国出版,英可瑞,超讯通信,中科信息,万胜智能,日播时尚,南方传媒,中船汉光,杭州热电,焦点科技,冰川网络,紫天科技,朗玛信息,鸿博股份,赛诺医疗,中船科技,唐德影视,中国科传,拓新药业,金石亚药,世纪天鸿,万兴科技,通合科技,佳发教育,兴齐眼药,迦南智能,学大教育,广深铁路,太极集团,宝明科技
69,2023-05-22,日播时尚,万胜智能,杭州热电,中国出版,迦南智能,英可瑞,紫天科技,中船汉光,超讯通信,中船科技,优德精密,南方传媒,鸿博股份,冰川网络,世纪天鸿,中科信息,宝明科技,拓新药业,广深铁路,赛诺医疗,惠城环保,三六五网,太极集团,万兴科技,焦点科技,朗玛信息,金石亚药,科思股份,学大教育,兴齐眼药
70,2023-05-23,日播时尚,杭州热电,万胜智能,拓新药业,优德精密,紫天科技,迦南智能,英可瑞,中国出版,中船汉光,中船科技,世纪天鸿,宝明科技,冰川网络,太极集团,焦点科技,赛诺医疗,金石亚药,超讯通信,鸿博股份,迈赫股份,亨迪药业,惠城环保,学大教育,兴齐眼药,朗玛信息,广深铁路,佰奥智能,何氏眼科,桂发祥
